grid_id,name,wikipedia_url,email_address,established
grid.5333.6,École Polytechnique Fédérale de Lausanne,http://en.wikipedia.org/wiki/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,1853
grid.417881.3,Allen Institute for Brain Science,https://en.wikipedia.org/wiki/Allen_Institute_for_Brain_Science,,2003
grid.1001.0,Australian National University,http://en.wikipedia.org/wiki/Australian_National_University,,1946
grid.1002.3,Monash University,http://en.wikipedia.org/wiki/Monash_University,,1958
grid.1003.2,University of Queensland,http://en.wikipedia.org/wiki/University_of_Queensland,,1909
grid.1004.5,Macquarie University,http://en.wikipedia.org/wiki/Macquarie_University,,1964
grid.1005.4,UNSW Sydney,http://en.wikipedia.org/wiki/University_of_New_South_Wales,,1949
grid.1006.7,Newcastle University,http://en.wikipedia.org/wiki/Newcastle_University,,1834
grid.1007.6,University of Wollongong,http://en.wikipedia.org/wiki/University_of_Wollongong,,1951
grid.1008.9,University of Melbourne,http://en.wikipedia.org/wiki/University_of_Melbourne,,1853
grid.1009.8,University of Tasmania,http://en.wikipedia.org/wiki/University_of_Tasmania,,1890
grid.1010.0,University of Adelaide,http://en.wikipedia.org/wiki/University_of_Adelaide,,1874
grid.1011.1,James Cook University,http://en.wikipedia.org/wiki/James_Cook_University,,1961
grid.1012.2,University of Western Australia,http://en.wikipedia.org/wiki/University_of_Western_Australia,,1911
grid.1013.3,University of Sydney,http://en.wikipedia.org/wiki/University_of_Sydney,,1850
grid.1014.4,Flinders University,http://en.wikipedia.org/wiki/Flinders_University,,1966
grid.1016.6,Commonwealth Scientific and Industrial Research Organisation,http://en.wikipedia.org/wiki/Commonwealth_Scientific_and_Industrial_Research_Organisation,,1926
grid.1017.7,RMIT University,http://en.wikipedia.org/wiki/RMIT_University,,1887
grid.1018.8,La Trobe University,http://en.wikipedia.org/wiki/La_Trobe_University,,1964
grid.1019.9,Victoria University,"http://en.wikipedia.org/wiki/Victoria_University,_Australia",,1916
grid.1020.3,University of New England,http://en.wikipedia.org/wiki/University_of_New_England_(Australia),,1938
grid.1021.2,Deakin University,http://en.wikipedia.org/wiki/Deakin_University,,1974
